名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
成都冒菜水煮鱼(武生店),660,2,12,麻辣烫,4.2,37,204,1005,武汉市新洲区阳逻街汉施路特1号武生院商业街C152号
平凡便利店(武生店),264,2,20,便利店,4.6,37,73,965,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场6栋8号
馋猫铺子,35,15,1000,休闲零食,5,32,16,566,武汉市新洲区阳逻街汉施路1号武生院中区商业街2号
罗兰花店,48,0,0,鲜花,5,41,5,31862,湖北省武汉市洪山区卓刀泉教师小区25栋负101室
冬依花坊 ,147,30,0,鲜花,5,45,35,32853,武汉东湖新技术开发区流芳湖口村金谷明珠园15-1-603号
花花时间,9,0,0,鲜花,5,51,0,18664,武汉市青山去工业二路14号门面
爱上零食屋,84,10,198,休闲零食,4.7,41,115,32080,台北四村20号1、2室
花西拾鲜花(武汉心语轩婚庆店),12,0,20,鲜花,0,50,0,8516,武汉市新洲区阳逻街平江路23号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
天猫小店（海棠超市武生院店）,527,1,15,便利店,4.8,37,1474,1002,武汉市新洲区阳逻街汉施公路特1号
港饮之港(武生院东区店),256,2,10,奶茶果汁,4.7,37,23,931,武汉市新洲区阳逻街汉施路1号武生院商业街东区A108号
缤纷果栈(武生店),387,0,15,水果,4.7,35,82,861,武汉市新洲区阳逻街桥头村长河西路444号
海棠超市(武生店),130,1,18,休闲零食,4.9,36,93,399,武汉市新洲区阳逻街汉施路特1号
爱心优培(中央工厂阳逻店),40,10,0,蛋糕,4.8,41,4,8705,武汉市新洲区阳逻街中份村七组
御品旗宫廷糕点(阳逻一店),25,10,0,蛋糕,4.3,47,3,8013,武汉市新洲区阳逻街吴家田村279号
尚希鲜花蛋糕(汉阳店),26,0,0,蛋糕,4.3,45,1,35256,武汉市武昌区南湖花园机场三路水域天际一期4栋2单元1层2室
尚希蛋糕鲜花(武汉店),1,0,0,鲜花,0,57,0,32252,武昌区武珞路628号亚贸广场B座15层7号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
野兽派鲜花蛋糕(武昌店),1,0,20,蛋糕,0,53,0,36510,武昌区南湖都市桃源一期4单元1-2层1室
手撕面包(武生店),171,1,10,面包,4.9,32,12,580,武汉市新洲区阳逻街武湖村1栋1楼
好甜御膳房(武生店),435,1,9,简餐,4.2,32,59,527,武汉市新洲区阳逻街汉施路特1号武生院东区商业街A221号
小伍卤肉卷意大利面鸡柳薯条(后街店),813,1,10,简餐,4.5,35,81,994,武汉市新洲区阳逻街桥头村六组42号
香辣情烧烤（武生店）,670,1,10,烧烤,4.7,35,143,105,武汉市新洲区阳逻街桥头村五组长河西路
叼馋砂锅麻辣烫（武生店）,536,2,12,麻辣烫,4.4,37,344,733,武汉市新洲区阳逻街特1号武生院商业街C160号
精粉牛肉面馆,1,1.5,15,米粉面馆,4,34,0,585,武汉市新洲区阳逻街武湖村1栋1-5层1层2号
麦佳小客(武生店),71,1,13,简餐,4.9,30,1,354,武汉市新洲区阳逻街武生院商业街
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
饭前藕遇(武生店),483,0,0,川湘菜,3.9,37,7,845,武汉市新洲区阳逻街武生院东区商业街C165号
泰隐营养餐馆(武生店),168,2,15,简餐,4.8,37,0,1029,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场7栋20号
好甜回头客(武生店),106,0,10,简餐,4.4,34,0,422,武汉市新洲区阳逻街汉施路特1号武生院东区商业街A212号
豪大大鸡排-鸡排饭(武生院店),1267,1,12,汉堡,4.7,37,169,876,武汉市新洲区阳逻武汉生物工程学院商业街西区7号
好麦乐炸鸡(武生店),663,0,13,汉堡,4.5,37,0,769,湖北省武汉市新洲区阳逻街汉施路特1号武生院商业街C164号
学府家园水果副食店(武生院),36,1,8,大型超市,5,33,0,382,武汉市新洲区阳逻街汉施路特1号武生院学府竹屋
欧巴炸鸡,262,2,10,炸鸡炸串,4.7,34,23,866,武汉市新洲区阳逻街汉施路特1号武生院商业街西区23号
转角(武生店),167,2,12,简餐,4.7,37,13,437,湖北省武汉市新洲区阳逻街汉施路特1号武生院商业街东区A208B
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
刘易手牛杂萝卜汤(武生店),3,1.5,11,米粉面馆,0,34,0,970,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场2栋11号
薄冰羊肉粉(贵州遵义武生店),513,1,10,米粉面馆,4.3,32,65,587,武汉市新洲区阳逻街武湖汉施公路1号东街美食城B栋1层19号
环宇水咖(武生店),47,1,7,奶茶果汁,4.2,37,0,885,武汉市新洲区阳逻街桥头村471号
茶果年华（武生店）,101,1.8,10,奶茶果汁,4.7,37,16,686,武汉市新洲区阳逻街汉施路特1号武生院西区商业街16-2号
炊烟农家（武生店）,83,1,10,简餐,4.9,34,0,612,武汉市新洲区阳逻武生院西区商业街30号
张亮麻辣烫(武生西区店),1743,2,10,麻辣烫,4.3,32,1278,797,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场7栋一层27.29号
客卤汁卤肉拌饭(武生店),113,2,8,煲仔饭,3.9,37,2,898,武汉市新洲区阳逻街桥头
茶多芬奶咖（武生店）,53,1,10,奶茶果汁,5,37,4,784,武汉市新洲区阳逻街武汉生物工程学院商业街西区35号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
老北京卤肉卷(武生店),168,1,0,地方小吃,4.8,36,48,415,武汉市新洲区阳逻街阳光大道时代广场一层27号
疯狂鸡排(武生店),2465,1,13,汉堡,4.7,34,223,917,武汉市新洲区阳逻街汉施路特1号武生院西区商业街5号
光头强铁板饭(武生店),126,0,0,简餐,4.4,35,18,889,武汉市新洲区阳逻街桥头村五组456号
点滴浆坊(武生东街店),69,2,10,奶茶果汁,4.8,37,0,516,武汉市新洲区阳逻街汉施路特1号武汉生物工程学院商业街生苑超市一楼第三间
福莱德汉堡（武生店）,150,2,10,汉堡,4.7,36,0,878,武汉市新洲区阳逻街桥头村长河西路4-17号
味美思滋补汤(武生院店),116,1,0,地方小吃,4.4,37,0,896,武汉市新洲区阳逻街桥头村451号
小四川家常菜(武生店),241,0,10,川湘菜,4.3,32,3,796,武汉市新洲区阳逻街汉施路特1号武生院商业街C158号
吾饮良品(武生店),19,1,8,奶茶果汁,5,37,6,454,武汉市新洲区阳逻街汉施路1号武生院东区商业街A116号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
鲨鱼吃面(武生店),356,1,0,简餐,4.5,37,69,869,武汉市新洲区阳逻街汉施路1号武生院西区商业街13-A号
时光若刻,61,1,12,奶茶果汁,4.8,37,3,423,武汉市新洲区阳逻街汉施路1号武生院商业街东区A201号
西区天天鲜蛋糕店,41,0,10,面包,4.5,36,2,906,武汉市新洲区阳逻街武生院北十商业街7号
巴西烤肉饭（武生店）,73,0,10,地方小吃,4.7,37,4,1005,武汉市新洲区阳逻街桥头村五组
筷易点(武生店),165,0,10,盖浇饭,4.2,37,6,791,武汉市新洲区阳逻街桥头村三组403号
霄張花甲(武生店),776,2,10,简餐,4.5,37,57,875,武汉市新洲区阳逻街武生院内
阿甘超市(武生店),152,1,5,大型超市,4.5,36,0,1,武汉市新洲区阳逻街山河新村98号
22号湘菜馆（武生店）,33,1,10,盖浇饭,4,34,0,701,武汉市新洲区阳逻街武汉生物工程学院商业街西区22号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
九月,220,1,15,汉堡,4.9,36,8,1,武汉市新洲区阳逻街汉施路1号武生院东区商业街A219号
山东黄焖鸡米饭,208,1.5,10,黄焖鸡米饭,3.9,37,17,923,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场2栋29号
有家小馆（武生店）,1661,0,10,简餐,4.3,37,79,924,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场2栋22号
亚米亚米(武生店),135,2,10,披萨意面,4.3,37,13,675,武汉市新洲区阳逻街汉施路特1号武生院商业街东区B209号
家乡味小碗菜(武生店),235,2,0,简餐,4,42,34,2092,武汉市新洲区阳逻街青松村三组职业技术学院东门旁边
水晶泡泡锅（武生店）,619,0,10,香锅砂锅,4.4,37,0,706,武汉市新洲区阳逻街汉施路特1号武生院西区商业街12-B
品好味爱情麻辣烫南京鸭血粉丝汤(武生店),365,1,13,米粉面馆,4.1,37,139,1005,武汉市新洲区阳逻街桥头村五组466号
卤香阁VS卤汁饭（武生店）,3043,0,0,简餐,4.6,32,488,558,武汉市新洲区阳逻街武湖村汉施公路1号东街美食城B栋1层16号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
奇米克蛋糕(武生店）,47,2,20,蛋糕,5,37,7,987,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场2栋4号
轻食煮艺·沙拉暖食,259,2,15,西餐,4.8,37,55,906,武汉市新洲区阳逻街桥头村6组20号
开心猫串串香(武生店),119,1,10,简餐,4.8,34,81,721,武汉市新洲区阳逻街汉施路特1号武生院洞庭水街2号
后街长沙臭豆腐(武生店),277,1,10,地方小吃,4.6,37,28,1000,武汉市新洲区阳逻街桥头村六组517号
茶本茶(武生店),446,1,8,奶茶果汁,4.9,37,161,905,武汉市新洲区阳逻街桥头村五组457号
麻辣香锅(武生店),648,2,15,香锅砂锅,4.1,37,28,618,武汉市新洲区阳逻街汉施路1号武生院商业街西区18号
宜百味泡面食堂(武生店),211,1,12,简餐,4.3,37,43,654,武汉市新洲区阳逻街汉施大道特1号（武汉生物工程学院内）
漢香缘黄焖鸡米饭（武生店）,247,2,10,黄焖鸡米饭,4.2,32,40,591,武汉市新洲区阳逻汉施公路1号武湖东街美食城B栋1层3号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
神户铁板烧(武生店),2638,1.8,13,简餐,4.4,37,788,1113,武汉市新洲区仓埠街杨裴村58
蜜雪冰城(武生店),107,2,8,奶茶果汁,4.8,37,9,705,武汉市新洲区阳逻街汉施路特1号武汉生物工程学院商业街A122号商铺
轻轨站正新鸡排(武生店),496,2,10,炸鸡炸串,4.5,32,56,620,武汉市新洲区阳逻街武湖村1栋1-5层1-1-29号
山东大馅水饺(武生店),1693,1,0,饺子馄饨,4.5,36,356,323,武汉市新洲区阳逻街汉施路1号武生院四季村1号
江西瓦罐汤（武生院店）,590,1,10,米粉面馆,4.7,37,37,796,武汉市新洲区阳逻街武汉生物工程学院商业街西区25号
美味佳肴（武生店）,328,0,10,盖浇饭,4.8,30,17,264,武汉市新洲区阳逻街武生院商业街西区28号
可可烘焙（武生店）,60,1.5,15,蛋糕,4.3,37,7,893,武汉市新洲区阳逻街汉施路特1号武生院商业街
吉米家（武生院店）,615,2,15,简餐,4.6,30,39,166,武汉市新洲区阳逻街汉施路特1号武汉生物工程学院商业街B146号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
卤汁拌饭(武生店),220,0,0,川湘菜,4.6,35,20,918,武汉市新洲区阳逻街桥头村六组19号
爱尚锁骨鸡,681,1,10,简餐,4.7,37,54,851,武汉市新洲区阳逻街汉施路特1号武生院西区商业街13-B号
程记炸酱面（武生店）,322,1.5,10,米粉面馆,4.4,37,33,893,武汉市新洲区阳逻街汉施路特1号武生院商业街B207
贵哥卤肉卷（武生店）,40,0,0,地方小吃,4.7,32,3,802,武汉市新洲区阳逻街武汉生物工程学院商业街北十6号
香辣情麻辣香锅(武生店),1028,1,0,盖浇饭,4.4,34,595,1089,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场1栋19号
万佳坊（武生店）,854,2,0,盖浇饭,4.4,30,26,264,武汉市新洲区阳逻街武生院商业街西区10号
至尊椒香烤鸭饭(武生店),2630,0,0,盖浇饭,4.7,36,246,1,武汉市新洲区阳逻街汉施路1号武湖东街美食城B栋1层13号铺
元和过桥米线(武生店),439,0,0,米粉面馆,4.8,34,22,445,武汉市新洲区阳逻街武生院商业街137号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
冯记招牌水煮鱼(武生店),1913,1.5,10,简餐,4.6,32,142,768,武汉市新洲区阳逻街汉施路1号武生院西区商业街25-2号
黄蜀郎鸡公煲（武生店）,826,2,16,香锅砂锅,4.4,37,34,675,武汉市新洲区阳逻街汉施路特1号武生院东区商业街B205
乐滋烤肉脆皮鸡饭,437,0,10,简餐,4.5,37,17,899,武汉市新洲区阳逻街桥头村六组6-5号
陈香记三鲜煲(武生店),771,0,0,简餐,4.5,37,104,889,武汉市新洲区阳逻街桥头村五组504号
星食茶(武生店),55,1,15,奶茶果汁,4.9,37,6,847,武汉市新洲区阳逻街汉施路特1号武生院商业街西区15-C
呀卤吖(武生院店),191,2,12,简餐,4.6,37,21,551,武汉市新洲区阳逻街武湖村1栋(武汉东街)1楼3号
华莱士炸鸡汉堡(武生店),1501,2,25,汉堡,4.1,38,244,598,武汉市新洲区阳逻街武湖村生物工程学院商业街129号
风味卤汁饭,408,2,10,简餐,4.5,30,45,278,武汉市新洲区阳逻街汉施路1号武生院四季村门店2号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
随便点(武生店),756,2,15,米粉面馆,4.5,37,171,897,武汉市新洲区阳逻街汉施路1号武生院西区商业街11号
老北京爆肚,1155,0,0,简餐,4.7,37,154,827,武汉市新洲区阳逻街高新街58号
梅花王蛋糕（武生店）,51,2,20,蛋糕,4.8,34,18,707,武汉市新洲区阳逻街汉施路特1号武生院商业街B139
东区茶物语,702,1,8,炸鸡炸串,4.9,30,116,416,武汉市新洲区阳逻街汉施路特1号武生院东区商业街110-4号
飞毛腿便利店（武生店）,220,1,5,便利店,4.9,34,9,820,武汉市新洲区阳逻街汉施路特1号武生院西区商业街33-A
叫了个炸鸡,526,2,13,汉堡,4.3,37,20,749,武汉市新洲区阳逻街汉施路特1号武生院商业街C164号
百味美食（武生店）,457,2,10,地方小吃,4.5,40,74,889,武汉市新洲区阳逻街汉施路特1号（武生院内）
百草味零食天地（武生院店）,71,0,20,零食,4.1,37,23,1005,武汉市新洲区阳逻街武生院商业街A120号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
合味道(武生店),787,0,0,川湘菜,4.3,37,19,829,武汉是新洲区阳逻街汉施路1号武生院东区商业街C165号
梅花七(武生店),131,0,10,西餐,4.5,37,18,495,武汉市新洲区阳逻街汉施路1号武汉生物工程学院商业街A209
韩式石锅拌饭(武生店),401,1,14,简餐,4.5,34,28,622,武汉市新洲区阳逻街汉施路特1号武生院商业街B141号
福莱德烤肉饭脆皮饭,297,2,10,简餐,4.6,34,20,882,武汉市新洲区阳逻街桥头村长河西路4-71号
喵先生烤肉饭(武生店),553,1,5,简餐,4.5,37,59,874,武汉市新洲区阳逻街汉施路特1号武生院商业街西区14-B号
娜美客披萨（武生店）,229,1,15,披萨意面,4.7,37,19,698,武汉市新洲区阳逻街武湖村1栋15-16号门面
开心炒饭（武生店）,178,2,8,简餐,3.9,37,11,924,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场1栋18号
湖南米粉小笼包(武生店),338,2,10,米粉面馆,4.7,37,54,1264,武汉市新洲区阳逻街道武生院内
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
面霸(武生店),743,2,10,米粉面馆,4.6,37,78,654,武汉市新洲区阳逻街汉施路1号武生院东区商业街B206号
精菜坊百味鸡饭（武生店）,2334,1,0,简餐,4.6,37,213,661,武汉市新洲区阳逻街武湖汉施公路1号东街美食城B栋1层8号
郭记站大排（武生店）,276,1,10,地方小吃,4.6,37,43,1005,武汉市新洲区阳逻街桥头村长河西路450号
十里香排骨(排骨饭武生店),1589,0,0,地方小吃,4.6,37,210,945,武汉市新洲区阳逻街汉施路特1号武生院西区商业街2号
伊味儿吃货店(武生店),63,1,15,休闲零食,4.9,37,3,582,武汉市新洲区阳逻街汉施路1号武生院中区商业街11号
忆味鲜,300,2,10,简餐,4,35,68,955,武汉市新洲区阳逻街桥头村六组43-1号
刘妈烫饭(武生店),178,1,10,简餐,4.7,32,18,608,武汉市新洲区汉施大道特1号武汉生物工程学院商业街C区163号
陈记片皮鸭(武生店),545,1,8,地方小吃,4.9,35,43,911,武汉市新洲区阳逻街桥头村5组450号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
今点食汇（武生店）,2905,0,0,盖浇饭,4.5,37,158,622,武汉市新洲区阳逻街汉施路特1号武生院商业街B210
沸腾食客(武生店),296,2,12,简餐,4.6,37,15,583,武汉市新洲区阳逻街汉施路1号武生院东区商业街B130号
小萝卜头餐饮(武生店),407,2,10,盖浇饭,4.4,40,36,960,武汉市新洲区阳逻街汉施路特一号武生院商业街西区16-1号
东北香众一品过桥米线,1001,0,5,米粉面馆,4.4,37,146,975,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场1栋1号
黑白回忆(武生店),270,1,10,其他菜系,4.3,36,11,167,武汉市新洲区阳逻街武生院商业街B208
8号食铺(武生店),300,1,12,汉堡,4.7,37,13,975,武汉市新洲区阳逻街桥头村武湖惠民农贸综合市场1栋1号
熊大汤泡饭泡面,546,1,6,香锅砂锅,4.5,37,79,924,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场1栋1号
扬州包子馄饨店（武生店）,454,1.5,11,包子粥店,4.5,37,55,930,武汉市新洲区阳逻街桥头村四组431号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
山西特色面馆(武生店）,1427,1.5,10,简餐,4.4,32,152,644,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场7栋18、20号
罗记爱情麻辣烫（武生店）,551,0,12,麻辣烫,4.6,32,655,539,武汉市新洲区阳逻街道桥头村五组457号
肖私府,736,2,10,地方小吃,4.5,35,69,944,武汉市新洲区阳逻街桥头村四组264号
洪湖小碗菜(武生店),659,1,0,川湘菜,4.6,36,92,268,武汉市新洲区阳逻街汉施路1号武生院四季村门店4号
柳州螺蛳粉,855,1,10,简餐,4.7,40,102,905,武汉市新洲区阳逻街桥头村长河西村6号
M2 pub(武生院店),856,1,12,盖浇饭,4.3,32,53,494,武汉市新洲区阳逻街汉施路1号武生院商业街A207号
上汤土豆粉(武生店),569,1,10,米粉面馆,4.5,37,75,809,武汉市新洲区阳逻武汉生物工程学院商业街C157-159
点稻味(武生店),873,2,10,简餐,4.5,35,60,1087,武汉市新洲区阳逻街桥头村八组武湖慧明农贸综合市场1栋16号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
有一家(武生店),655,1,8,咖喱饭,4.5,37,49,707,武汉市新洲区阳逻街汉施路1号武生院东区商业街A207B
点滴浆坊（武生西区店）,240,1,10,奶茶果汁,4.7,37,26,893,武汉市新洲区阳逻街汉施路特1号武生院商业街西区38-1号
陈记砂锅煲仔饭（武生店）,1025,1,0,煲仔饭,4.6,32,53,601,武汉市新洲区阳逻街武湖桥头村
真熙俯韩式主题餐厅(武生院店),863,2,15,日韩料理,4.7,35,84,846,武汉市新洲区阳逻街汉施路1号武生院商业街西区17号
乡巴佬（武生店）,188,2,10,盖浇饭,4.2,37,13,1005,武汉市新洲区阳逻街汉施路特1号武生院商业街B210
大城小橱,465,1,9,简餐,4.7,37,7,780,武汉市新洲区阳逻街汉施路1号武生院东区商业街C158号
天天鲜蛋糕（武生店）,20,1,10,蛋糕,0,36,0,244,武汉市新洲区阳逻街汉施大道特1号武生院商业街A052
川香餐厅（武生店）,343,1,0,盖浇饭,4.4,32,25,706,武汉市新洲区阳逻街武汉生物工程学院商业街西区14号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
古茗手工奶茶(武生店),243,1.5,20,奶茶果汁,4.8,32,42,590,武汉市新洲区阳逻街武湖村1栋1楼1号
明洞韩式料理(武生院店),378,1,14,日韩料理,4.5,32,32,590,武汉市新洲区阳逻街汉施路1号武生院东区商业街B207号
妈妈豆花(武生店),651,1,10,地方小吃,4.6,35,65,891,武汉市新洲区阳逻街桥头村六组480号
重庆小面(武生店),1648,1,10,米粉面馆,4.6,37,257,861,武汉市新洲区阳逻街武汉生物工程学院内
黄焖鸡米饭（武生店）,322,0,15,黄焖鸡米饭,4.6,37,20,989,武汉市新洲区阳逻街桥头村五组476号
渝味重庆麻辣烫(武生店),1117,2,12,麻辣烫,4.6,37,818,666,武汉市新洲区阳逻武汉生物工程学院西区门店9号
柴火堂卤汁拌饭(武生店),1475,0,10,简餐,4.5,35,121,920,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场9栋27号
台湾鸡老大香鸡排（武生店）,189,1,10,炸鸡炸串,4.6,37,17,559,武汉市新洲区汉施大道特1号武汉生物工程学院商业街C区163号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
杨记爱情麻辣烫（武生院店）,1121,2,12,麻辣烫,4.5,36,1186,122,武汉市新洲区阳逻武汉生物工程学院东区商业街C162
莱克汉堡(武生店),1685,1,14,炸鸡炸串,4.7,32,214,784,武汉市新洲区阳逻街汉施路1号武生院东区商业街C165号
五谷渔粉（武生店）,1055,0,0,简餐,4.5,37,89,739,武汉市新洲区阳逻武汉生物工程学院西区门店20号
韩国铁板炒饭（武生店）,765,1.5,10,简餐,4.7,37,77,529,武汉市新洲区阳逻街武生院商业街
送饮料食全食美(武生店),2044,0,5,盖浇饭,4.3,36,122,131,武汉市新洲区阳逻街汉施特1号武生院商业街C166
荆州铁板烧（武生店）,2739,1.8,13,炸鸡炸串,4.3,32,1325,646,武汉市新洲区阳逻街汉施路特1号武生院商业街西区1号
江南平价便利店(武生店),205,1,5,大型超市,4.7,37,145,893,武汉市新洲区阳逻街汉施路特1号武生院江南剧场3号
潮汕生滚靓粥（武生店）,1406,1,6,包子粥店,4.7,37,140,1005,武汉市新洲区阳逻街桥头村六组56号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
爱辣啵啵鱼(武生店),114,2,10,黄焖鸡米饭,4.6,34,1,517,武汉市新洲区阳逻街红岭小区二期4号楼1-3号
骑士老虎茶黑糖(武生店),51,2,10,奶茶果汁,4.4,37,0,680,武汉市新洲区阳逻街汉施路特1号武生院商业街B141号
李记铁板烧(武生店),2423,1.5,13,烧烤,4.5,37,1188,866,武汉市新洲区阳逻街汉施路1号武生院西区商业街12-2号
五谷渔粉(武生东区店),897,1,0,米粉面馆,4.7,35,47,852,武汉市新洲区阳逻街汉施路特1号武生院商业街东区C159号
云南过桥米线（武生店）,1414,1,12,米粉面馆,4.7,34,155,784,武汉市新洲区阳逻街武汉生物工程学院商业街西区8号
叫了个炸鸡(武生店),1043,2,15,炸鸡炸串,4.5,37,102,652,武汉市新洲区阳逻街武湖村二组（武生院轻轨站附近）
初遇时光餐厅（武生店）,550,0,10,披萨意面,4.4,37,25,758,武汉市新洲区阳逻街汉施路特1号武生院商业街西区29号
香满居烤鸭饭(武生店),2076,1,0,简餐,4.6,37,173,463,武汉市新洲区阳逻街桥头村七组450号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
遇道小厨川湘菜馆(武生店),801,2,0,川湘菜,4.5,37,60,697,武汉市新洲区阳逻街汉施路1号武生院东区商业街B144B号
美味时尚田园餐厅(武生店),3024,0,0,川湘菜,4.5,37,127,693,武汉市新洲区阳逻街汉施路1号武生院东区商业街B208号
香辣馆（武生店）,1021,2,10,其他菜系,4.5,37,81,706,武汉市新洲区阳逻街武生院内
张亮麻辣烫(武生院东区店),869,2,10,麻辣烫,4.1,37,927,622,武汉市新洲区阳逻街汉施公路1号武生院东区商业街B144A号
后街小罐私厨(武生店),1344,1,0,简餐,4.6,35,122,904,武汉市新洲区阳逻街桥头村六组3号
东北人烤肉拌饭​（武生店）,1325,1,5,简餐,4.5,37,126,941,武汉市新洲区阳逻街武汉生物工程学院西区商业街3号
东北饺子蒸饺,350,1,10,米粉面馆,4.1,38,101,1274,武汉市新洲区阳逻街桥头村长河西路4-71号
花心卤肉饭,197,1.5,13,香锅砂锅,4.2,35,11,916,武汉市新洲区阳逻街桥头村长河西路444号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
湘味缘（武生店）,1492,0,0,盖浇饭,4.1,35,104,1005,武汉市新洲区阳逻街汉施路特1号武生院商业街B202号
米棒台湾饭团(武生院店),275,1.5,15,简餐,4.7,34,24,851,武汉市新洲区阳逻街汉施路1号武生院西区商业街16号
板烧咖喱(武生店),637,1.5,10,咖喱饭,4.4,37,107,791,武汉市新洲区阳逻街汉施路特1号武生院商业街西区23号
武生院沃尔玛,4860,1,5,大型超市,4.7,37,964,1273,武汉市新洲区阳逻街汉施路特1号武生院东区商业街A217
鹿茶（武生店）,931,1,16,炸鸡炸串,4.7,32,73,631,武汉市新洲区阳逻街汉施路特1号武生院商业街A207A号
味道江湖（武生店）,2123,0,10,盖浇饭,4.1,37,205,1005,武汉市新洲区阳逻街汉施路特1号武生院商业街B211号
特色砂锅焖鱼烤鱼饭(武生店),373,1,10,简餐,4.5,30,15,279,武汉市新洲区阳逻街汉施路1号武生院四季村门店3号
好甜零食屋(武生店),935,1,10,便利店,4.8,37,152,560,武汉市新洲区阳逻街汉施路特1号武生院商业街东区二楼A208A
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
默默便利店(武生店),562,1,5,大型超市,4.5,36,123,193,武汉市新洲区阳逻街山河新村还建楼75号
港饮之港(武生院西区店),205,1,10,奶茶果汁,4.8,35,59,841,武汉市新洲区阳逻街武汉生物工程学院商业街西区23号
品韩川宫武生院店,602,1,13,简餐,4.6,37,47,718,武汉市新洲区阳逻街汉施大道特1号武汉生物工程学院东区商业街B145号
动感煲煲（武生店）,2366,2,8,咖喱饭,4.4,37,178,684,武汉市新洲区阳逻街道武生院内
有一家芝士焗饭(武生店),283,1,8,简餐,4.2,37,37,897,武汉市新洲区阳逻街桥头村六组481号
非常食惠（武生店）,1338,1,0,盖浇饭,4.5,37,129,980,武汉市新洲区阳逻街武汉生物工程学院商业街西区6号
红点点餐厅(武生店),3042,0,10,简餐,4.3,32,144,577,武汉市新洲区阳逻街汉施路1号武生院东区商业街B212号
麦乐仕芝士饭（武生店）,2742,1,8,简餐,4.6,36,430,58,武汉市新洲区阳逻街武汉生物工程学院西区商业街4号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
巴蜀人家餐厅（武生店）,4069,0,5,盖浇饭,4.3,32,172,812,武汉市新洲区阳逻街汉施路特1号武生院商业街B216号
零食小子,737,5,100,便利店,4.8,37,60,580,武汉市新洲区阳逻经济开发区汉施路1号/栋1-3（武汉生物工程学院）
菜小二生鲜(四季美农贸城店),1,0,0,蔬菜豆品,0,55,0,21102,合肥市蜀山区潜山路与望江路东侧海卉文化生活街B区B061
尚希蛋糕鲜花(洪山店),10,0,0,鲜花,5,41,0,32255,武汉市武昌区珞涵屯4栋1门502号
尚希蛋糕鲜花(江岸店),6,0,0,甜品,5,47,0,26926,武汉市江岸区二七街解放大道2159号航天星都汉口东部购物公园C2栋20层11室
艺仟禧鲜花烘焙(武商店),1,5,20,蛋糕,5,44,0,19837,武汉市青山区40/41街坊江南春城15栋1-2层8室商网（-28)
希里蛋糕鲜花武汉店,3,10,0,鲜花,0,40,0,26319,武汉市江岸区汉口城市广场六期5幢5号楼单元4层6号房
猫lin的铺,90,2,0,地方小吃,4.8,36,0,60,武汉市新洲区阳逻街武生院商业街C区154
